Indicator,Sim_ID,L1_Budget_Pct,L1_Label,Target_Percentile,V2_MAE_Acc
Weight,0,0.3,25C_x_4K,50%,58.333333333333336
Weight,0,0.3,25C_x_4K,60%,68.66666666666666
Weight,0,0.3,25C_x_4K,70%,76.11111111111111
Weight,0,0.3,25C_x_4K,80%,84.5
Weight,0,0.3,25C_x_4K,90%,90.45454545454545
Weight,0,0.4,25C_x_6K,10%,40.0
Weight,0,0.4,25C_x_6K,100%,100.0
Weight,0,0.4,25C_x_6K,20%,50.0
Weight,0,0.4,25C_x_6K,30%,50.0
Weight,0,0.4,25C_x_6K,40%,57.0
Weight,0,0.4,25C_x_6K,50%,61.666666666666664
Weight,0,0.4,25C_x_6K,60%,72.0
Weight,0,0.4,25C_x_6K,70%,80.0
Weight,0,0.4,25C_x_6K,80%,84.0
Weight,0,0.4,25C_x_6K,90%,90.0
Weight,0,0.5,25C_x_8K,10%,35.0
Weight,0,0.5,25C_x_8K,100%,100.0
Weight,0,0.5,25C_x_8K,20%,56.0
Weight,0,0.5,25C_x_8K,30%,55.0
Weight,0,0.5,25C_x_8K,40%,62.0
Weight,0,0.5,25C_x_8K,50%,62.5
Weight,0,0.5,25C_x_8K,60%,73.33333333333333
Weight,0,0.5,25C_x_8K,70%,78.88888888888889
Weight,0,0.5,25C_x_8K,80%,85.0
Weight,0,0.5,25C_x_8K,90%,90.45454545454545
Weight,0,0.6,25C_x_9K,10%,35.0
Weight,0,0.6,25C_x_9K,100%,100.0
Weight,0,0.6,25C_x_9K,20%,54.0
Weight,0,0.6,25C_x_9K,30%,56.25
Weight,0,0.6,25C_x_9K,40%,67.0
Weight,0,0.6,25C_x_9K,50%,66.66666666666667
Weight,0,0.6,25C_x_9K,60%,74.66666666666666
Weight,0,0.6,25C_x_9K,70%,82.77777777777779
Weight,0,0.6,25C_x_9K,80%,87.0
Weight,0,0.6,25C_x_9K,90%,90.45454545454545
Weight,0,0.7,25C_x_10K,10%,45.0
Weight,0,0.7,25C_x_10K,100%,100.0
Weight,0,0.7,25C_x_10K,20%,60.0
Weight,0,0.7,25C_x_10K,30%,62.5
Weight,0,0.7,25C_x_10K,40%,65.0
Weight,0,0.7,25C_x_10K,50%,68.33333333333333
Weight,0,0.7,25C_x_10K,60%,76.66666666666666
Weight,0,0.7,25C_x_10K,70%,83.88888888888889
Weight,0,0.7,25C_x_10K,80%,87.5
Weight,0,0.7,25C_x_10K,90%,93.18181818181817
Weight,0,0.8,25C_x_12K,10%,55.0
Weight,0,0.8,25C_x_12K,100%,100.0
