L1_Budget_Pct,L1_C,L1_K,L1_Label,L2_Budget_Pct,L2_C,L2_K,L2_Label,V1_MAE_Acc,V3_MAE_Acc,Scenario
20%,1,64,1C x 64K,60%,1,38,1C x 38K,0.0,100.0,Custom_Simulation
20%,1,64,1C x 64K,80%,1,51,1C x 51K,0.0,100.0,Custom_Simulation
20%,1,64,1C x 64K,80%,1,51,1C x 51K,0.0,100.0,Custom_Simulation
20%,1,64,1C x 64K,80%,1,51,1C x 51K,0.0,100.0,Custom_Simulation
20%,1,64,1C x 64K,80%,1,51,1C x 51K,0.0,100.0,Custom_Simulation
20%,1,64,1C x 64K,80%,1,51,1C x 51K,0.0,100.0,Custom_Simulation
20%,1,64,1C x 64K,80%,1,51,1C x 51K,0.0,100.0,Custom_Simulation
20%,1,64,1C x 64K,100%,1,64,1C x 64K,0.0,100.0,Custom_Simulation
20%,1,64,1C x 64K,100%,1,64,1C x 64K,0.0,100.0,Custom_Simulation
20%,1,64,1C x 64K,100%,1,64,1C x 64K,0.0,100.0,Custom_Simulation
20%,1,64,1C x 64K,100%,1,64,1C x 64K,0.0,100.0,Custom_Simulation
20%,1,64,1C x 64K,100%,1,64,1C x 64K,0.0,100.0,Custom_Simulation
20%,1,64,1C x 64K,100%,1,64,1C x 64K,0.0,100.0,Custom_Simulation
20%,1,75,1C x 75K,20%,1,15,1C x 15K,0.0,100.0,Custom_Simulation
20%,1,75,1C x 75K,20%,1,15,1C x 15K,0.0,100.0,Custom_Simulation
20%,1,75,1C x 75K,20%,1,15,1C x 15K,0.0,100.0,Custom_Simulation
20%,1,75,1C x 75K,20%,1,15,1C x 15K,0.0,100.0,Custom_Simulation
20%,1,75,1C x 75K,20%,1,15,1C x 15K,0.0,100.0,Custom_Simulation
20%,1,75,1C x 75K,20%,1,15,1C x 15K,0.0,100.0,Custom_Simulation
20%,1,75,1C x 75K,40%,1,30,1C x 30K,0.0,100.0,Custom_Simulation
20%,1,75,1C x 75K,40%,1,30,1C x 30K,0.0,100.0,Custom_Simulation
