Indicator,L1_Budget_Pct,L1_C,L1_K,L1_Label,L2_Budget_Pct,L2_C,L2_K,L2_Label,V1_MAE_Acc,V2_MAE_Acc,V3_MAE_Acc,Scenario
Weight,90%,5,69,5C x 69K,30%,5,20,5C x 20K,0.0,22.857142857142858,0.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,30%,4,29,4C x 29K,0.0,22.857142857142858,100.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,30%,3,38,3C x 38K,0.0,22.857142857142858,0.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,30%,2,51,2C x 51K,0.0,22.857142857142858,0.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,30%,2,60,2C x 60K,0.0,22.857142857142858,0.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,30%,1,69,1C x 69K,0.0,22.857142857142858,0.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,40%,5,27,5C x 27K,0.0,22.857142857142858,0.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,40%,4,35,4C x 35K,0.0,22.857142857142858,100.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,40%,3,42,3C x 42K,0.0,22.857142857142858,100.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,40%,3,54,3C x 54K,0.0,22.857142857142858,0.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,40%,2,61,2C x 61K,0.0,22.857142857142858,100.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,40%,2,69,2C x 69K,0.0,22.857142857142858,100.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,50%,5,34,5C x 34K,0.0,22.857142857142858,0.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,50%,4,40,4C x 40K,0.0,22.857142857142858,0.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,50%,4,47,4C x 47K,0.0,22.857142857142858,0.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,50%,3,56,3C x 56K,0.0,22.857142857142858,0.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,50%,3,63,3C x 63K,0.0,22.857142857142858,0.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,50%,2,69,2C x 69K,0.0,22.857142857142858,0.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,60%,5,41,5C x 41K,0.0,22.857142857142858,0.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,60%,4,46,4C x 46K,0.0,22.857142857142858,0.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,60%,4,51,4C x 51K,0.0,22.857142857142858,100.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,60%,4,59,4C x 59K,0.0,22.857142857142858,100.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,60%,3,64,3C x 64K,0.0,22.857142857142858,0.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,60%,3,69,3C x 69K,0.0,22.857142857142858,0.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,70%,5,48,5C x 48K,0.0,22.857142857142858,0.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,70%,5,52,5C x 52K,0.0,22.857142857142858,0.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,70%,4,56,4C x 56K,0.0,22.857142857142858,0.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,70%,4,61,4C x 61K,0.0,22.857142857142858,100.0,Custom_Simulation
