Indicator,L1_Budget_Pct,L1_C,L1_K,L1_Label,L2_Budget_Pct,L2_C,L2_K,L2_Label,V1_MAE_Acc,V2_MAE_Acc,V3_MAE_Acc,Scenario
Height,90%,1,67,1C x 67K,60%,1,40,1C x 40K,0.0,33.33333333333333,0.0,Custom_Simulation
Height,90%,1,67,1C x 67K,60%,1,40,1C x 40K,0.0,33.33333333333333,0.0,Custom_Simulation
Height,90%,1,67,1C x 67K,70%,1,46,1C x 46K,0.0,33.33333333333333,0.0,Custom_Simulation
Height,90%,1,67,1C x 67K,70%,1,46,1C x 46K,0.0,33.33333333333333,0.0,Custom_Simulation
Height,90%,1,67,1C x 67K,70%,1,46,1C x 46K,0.0,33.33333333333333,0.0,Custom_Simulation
Height,90%,1,67,1C x 67K,70%,1,46,1C x 46K,0.0,33.33333333333333,0.0,Custom_Simulation
Height,90%,1,67,1C x 67K,70%,1,46,1C x 46K,0.0,33.33333333333333,0.0,Custom_Simulation
Height,90%,1,67,1C x 67K,70%,1,46,1C x 46K,0.0,33.33333333333333,0.0,Custom_Simulation
Height,90%,1,67,1C x 67K,80%,1,53,1C x 53K,0.0,33.33333333333333,0.0,Custom_Simulation
Height,90%,1,67,1C x 67K,80%,1,53,1C x 53K,0.0,33.33333333333333,0.0,Custom_Simulation
Height,90%,1,67,1C x 67K,80%,1,53,1C x 53K,0.0,33.33333333333333,0.0,Custom_Simulation
Height,90%,1,67,1C x 67K,80%,1,53,1C x 53K,0.0,33.33333333333333,0.0,Custom_Simulation
Height,90%,1,67,1C x 67K,80%,1,53,1C x 53K,0.0,33.33333333333333,0.0,Custom_Simulation
Height,90%,1,67,1C x 67K,80%,1,53,1C x 53K,0.0,33.33333333333333,0.0,Custom_Simulation
Height,90%,1,67,1C x 67K,90%,1,60,1C x 60K,0.0,33.33333333333333,0.0,Custom_Simulation
Height,90%,1,67,1C x 67K,90%,1,60,1C x 60K,0.0,33.33333333333333,0.0,Custom_Simulation
Height,90%,1,67,1C x 67K,90%,1,60,1C x 60K,0.0,33.33333333333333,0.0,Custom_Simulation
Height,90%,1,67,1C x 67K,90%,1,60,1C x 60K,0.0,33.33333333333333,0.0,Custom_Simulation
Height,90%,1,67,1C x 67K,90%,1,60,1C x 60K,0.0,33.33333333333333,0.0,Custom_Simulation
Height,90%,1,67,1C x 67K,90%,1,60,1C x 60K,0.0,33.33333333333333,0.0,Custom_Simulation
Height,90%,1,67,1C x 67K,100%,1,67,1C x 67K,0.0,33.33333333333333,0.0,Custom_Simulation
Height,90%,1,67,1C x 67K,100%,1,67,1C x 67K,0.0,33.33333333333333,0.0,Custom_Simulation
Height,90%,1,67,1C x 67K,100%,1,67,1C x 67K,0.0,33.33333333333333,0.0,Custom_Simulation
Height,90%,1,67,1C x 67K,100%,1,67,1C x 67K,0.0,33.33333333333333,0.0,Custom_Simulation
Height,90%,1,67,1C x 67K,100%,1,67,1C x 67K,0.0,33.33333333333333,0.0,Custom_Simulation
Height,90%,1,67,1C x 67K,100%,1,67,1C x 67K,0.0,33.33333333333333,0.0,Custom_Simulation
Height,100%,1,75,1C x 75K,10%,1,7,1C x 7K,0.0,33.33333333333333,0.0,Custom_Simulation
Height,100%,1,75,1C x 75K,10%,1,7,1C x 7K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,10%,1,7,1C x 7K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,10%,1,7,1C x 7K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,10%,1,7,1C x 7K,0.0,33.33333333333333,0.0,Custom_Simulation
Height,100%,1,75,1C x 75K,10%,1,7,1C x 7K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,20%,1,15,1C x 15K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,20%,1,15,1C x 15K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,20%,1,15,1C x 15K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,20%,1,15,1C x 15K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,20%,1,15,1C x 15K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,20%,1,15,1C x 15K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,30%,1,22,1C x 22K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,30%,1,22,1C x 22K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,30%,1,22,1C x 22K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,30%,1,22,1C x 22K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,30%,1,22,1C x 22K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,30%,1,22,1C x 22K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,40%,1,30,1C x 30K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,40%,1,30,1C x 30K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,40%,1,30,1C x 30K,0.0,33.33333333333333,100.0,Custom_Simulation
