Universe,Indicator,Sim_ID,L1_Budget_Pct,L1_C,L1_K,L1_Label,L2_Budget_Pct,L2_C,L2_K,L2_Label,V1_MAE_Acc,V1_MAE_Std,V1_RMSE_Acc,V1_P90_Acc,V2_MAE_Acc,V2_MAE_Std,V2_RMSE_Acc,V2_P90_Acc,V3_MAE_Acc,V3_MAE_Std,V3_RMSE_Acc,V3_P90_Acc,Scenario,Rho_Model,Target_Percentile
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,80%,25,12,25C x 12K,20%,20,3,20C x 3K,100.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,80%,25,12,25C x 12K,20%,5,12,5C x 12K,100.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,80%,25,12,25C x 12K,20%,6,10,6C x 10K,100.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,80%,25,12,25C x 12K,30%,10,9,10C x 9K,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,80%,25,12,25C x 12K,30%,13,7,13C x 7K,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,80%,25,12,25C x 12K,30%,15,6,15C x 6K,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,80%,25,12,25C x 12K,30%,18,5,18C x 5K,100.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,80%,25,12,25C x 12K,30%,9,10,9C x 10K,100.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,80%,25,12,25C x 12K,40%,10,12,10C x 12K,100.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,80%,25,12,25C x 12K,40%,11,11,11C x 11K,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,80%,25,12,25C x 12K,40%,12,10,12C x 10K,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,80%,25,12,25C x 12K,40%,15,8,15C x 8K,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,80%,25,12,25C x 12K,40%,17,7,17C x 7K,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,80%,25,12,25C x 12K,40%,20,6,20C x 6K,100.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,80%,25,12,25C x 12K,40%,24,5,24C x 5K,100.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,80%,25,12,25C x 12K,50%,15,10,15C x 10K,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,80%,25,12,25C x 12K,50%,19,8,19C x 8K,100.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,80%,25,12,25C x 12K,50%,25,6,25C x 6K,100.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,80%,25,12,25C x 12K,60%,15,12,15C x 12K,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,80%,25,12,25C x 12K,60%,18,10,18C x 10K,100.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,80%,25,12,25C x 12K,60%,20,9,20C x 9K,100.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,80%,25,12,25C x 12K,70%,19,11,19C x 11K,100.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,80%,25,12,25C x 12K,70%,21,10,21C x 10K,100.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,80%,25,12,25C x 12K,70%,23,9,23C x 9K,100.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,80%,25,12,25C x 12K,80%,20,12,20C x 12K,100.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,80%,25,12,25C x 12K,80%,22,11,22C x 11K,100.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,80%,25,12,25C x 12K,80%,24,10,24C x 10K,100.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,80%,25,12,25C x 12K,100%,25,12,25C x 12K,100.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,90%,24,14,24C x 14K,10%,11,3,11C x 3K,0.0,0.0,0.0,0.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
