Universe,Indicator,Sim_ID,L1_Budget_Pct,L1_C,L1_K,L1_Label,L2_Budget_Pct,L2_C,L2_K,L2_Label,V1_MAE_Acc,V1_MAE_Std,V1_RMSE_Acc,V1_P90_Acc,V2_MAE_Acc,V2_MAE_Std,V2_RMSE_Acc,V2_P90_Acc,V3_MAE_Acc,V3_MAE_Std,V3_RMSE_Acc,V3_P90_Acc,Scenario,Rho_Model
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,40%,15,2,15C x 2K,36.666666666666664,0.0,0.0,0.0,43.733333333333334,0.0,0.0,0.0,36.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,50%,13,3,13C x 3K,43.333333333333336,0.0,0.0,0.0,43.733333333333334,0.0,0.0,0.0,43.333333333333336,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,50%,19,2,19C x 2K,36.666666666666664,0.0,0.0,0.0,43.733333333333334,0.0,0.0,0.0,36.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,60%,15,3,15C x 3K,40.0,0.0,0.0,0.0,43.733333333333334,0.0,0.0,0.0,40.0,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,60%,22,2,22C x 2K,50.0,0.0,0.0,0.0,43.733333333333334,0.0,0.0,0.0,50.0,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,70%,17,3,17C x 3K,13.333333333333334,0.0,0.0,0.0,15.866666666666667,0.0,0.0,0.0,13.333333333333334,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,80%,20,3,20C x 3K,16.666666666666664,0.0,0.0,0.0,15.866666666666667,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,90%,23,3,23C x 3K,23.333333333333332,0.0,0.0,0.0,15.866666666666667,0.0,0.0,0.0,23.333333333333332,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,100%,25,3,25C x 3K,16.666666666666664,0.0,0.0,0.0,15.866666666666667,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,5,15,5C x 15K,10%,1,8,1C x 8K,36.666666666666664,0.0,0.0,0.0,70.66666666666667,0.0,0.0,0.0,36.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,5,15,5C x 15K,10%,3,3,3C x 3K,43.333333333333336,0.0,0.0,0.0,70.66666666666667,0.0,0.0,0.0,43.333333333333336,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,5,15,5C x 15K,20%,1,15,1C x 15K,33.33333333333333,0.0,0.0,0.0,70.66666666666667,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,5,15,5C x 15K,20%,5,3,5C x 3K,50.0,0.0,0.0,0.0,70.66666666666667,0.0,0.0,0.0,50.0,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,5,15,5C x 15K,30%,1,15,1C x 15K,33.33333333333333,0.0,0.0,0.0,70.66666666666667,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,5,15,5C x 15K,30%,3,8,3C x 8K,43.333333333333336,0.0,0.0,0.0,70.66666666666667,0.0,0.0,0.0,43.333333333333336,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,5,15,5C x 15K,40%,2,15,2C x 15K,43.333333333333336,0.0,0.0,0.0,70.66666666666667,0.0,0.0,0.0,43.333333333333336,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,5,15,5C x 15K,40%,5,6,5C x 6K,46.666666666666664,0.0,0.0,0.0,70.66666666666667,0.0,0.0,0.0,46.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,5,15,5C x 15K,50%,3,15,3C x 15K,46.666666666666664,0.0,0.0,0.0,70.66666666666667,0.0,0.0,0.0,46.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,5,15,5C x 15K,50%,5,7,5C x 7K,40.0,0.0,0.0,0.0,70.66666666666667,0.0,0.0,0.0,40.0,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,5,15,5C x 15K,60%,3,15,3C x 15K,46.666666666666664,0.0,0.0,0.0,70.66666666666667,0.0,0.0,0.0,46.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,5,15,5C x 15K,60%,5,9,5C x 9K,46.666666666666664,0.0,0.0,0.0,70.66666666666667,0.0,0.0,0.0,46.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,5,15,5C x 15K,70%,3,15,3C x 15K,46.666666666666664,0.0,0.0,0.0,70.66666666666667,0.0,0.0,0.0,46.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,5,15,5C x 15K,70%,5,10,5C x 10K,46.666666666666664,0.0,0.0,0.0,70.66666666666667,0.0,0.0,0.0,46.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,5,15,5C x 15K,80%,4,15,4C x 15K,43.333333333333336,0.0,0.0,0.0,70.66666666666667,0.0,0.0,0.0,43.333333333333336,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,5,15,5C x 15K,80%,5,12,5C x 12K,50.0,0.0,0.0,0.0,70.66666666666667,0.0,0.0,0.0,50.0,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,5,15,5C x 15K,90%,5,13,5C x 13K,46.666666666666664,0.0,0.0,0.0,70.66666666666667,0.0,0.0,0.0,46.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,5,15,5C x 15K,90%,5,15,5C x 15K,46.666666666666664,0.0,0.0,0.0,70.66666666666667,0.0,0.0,0.0,46.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,5,15,5C x 15K,100%,5,15,5C x 15K,20.0,0.0,0.0,0.0,30.666666666666664,0.0,0.0,0.0,20.0,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,30%,14,8,14C x 8K,10%,11,1,11C x 1K,46.666666666666664,0.0,0.0,0.0,55.00000000000001,0.0,0.0,0.0,46.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,30%,14,8,14C x 8K,10%,1,8,1C x 8K,43.333333333333336,0.0,0.0,0.0,55.00000000000001,0.0,0.0,0.0,43.333333333333336,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,30%,14,8,14C x 8K,20%,3,8,3C x 8K,50.0,0.0,0.0,0.0,55.00000000000001,0.0,0.0,0.0,50.0,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,30%,14,8,14C x 8K,20%,7,3,7C x 3K,53.333333333333336,0.0,0.0,0.0,55.00000000000001,0.0,0.0,0.0,53.333333333333336,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,30%,14,8,14C x 8K,30%,4,8,4C x 8K,56.666666666666664,0.0,0.0,0.0,55.00000000000001,0.0,0.0,0.0,56.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,30%,14,8,14C x 8K,30%,8,4,8C x 4K,53.333333333333336,0.0,0.0,0.0,55.00000000000001,0.0,0.0,0.0,53.333333333333336,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,30%,14,8,14C x 8K,40%,6,8,6C x 8K,63.33333333333333,0.0,0.0,0.0,55.00000000000001,0.0,0.0,0.0,63.33333333333333,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,30%,14,8,14C x 8K,40%,9,5,9C x 5K,56.666666666666664,0.0,0.0,0.0,55.00000000000001,0.0,0.0,0.0,56.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,30%,14,8,14C x 8K,50%,14,4,14C x 4K,60.0,0.0,0.0,0.0,55.00000000000001,0.0,0.0,0.0,60.0,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,30%,14,8,14C x 8K,50%,7,8,7C x 8K,63.33333333333333,0.0,0.0,0.0,55.00000000000001,0.0,0.0,0.0,63.33333333333333,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
